"CIF","ACCOUNTNUMBER","TRANSACTIONID"
31,"048-82-5416",728358
32,"483-67-1026",615695
33,"525-77-1330",444682
34,"045-61-4184",747525
35,"050-61-7466",130284
36,"855-21-8447",217392
37,"886-51-1363",803571
38,"088-56-6634",664251
39,"883-66-3870",448852
40,"423-13-4375",367542
41,"262-68-1121",376690
42,"560-48-1425",349748
43,"415-36-3166",123758
44,"272-72-6427",596915
45,"705-77-5861",332276
46,"726-55-0272",180304
47,"738-62-1855",925227
48,"241-68-2480",315024
49,"535-50-6535",406803
50,"145-15-6482",242376
51,"566-64-8428",520107
52,"430-15-6024",532541
53,"653-40-1765",277193
54,"178-66-4118",866079
55,"852-00-8323",422270
56,"514-65-8714",688981
57,"878-10-8537",270982
58,"646-01-7012",816535
59,"714-20-8170",509439
60,"882-04-1325",309549
61,"844-30-2613",983621
62,"258-61-0744",750045
63,"546-81-4528",822950
64,"562-02-6725",942424
65,"827-07-0132",642634
66,"888-78-1742",877932
67,"072-25-7603",301703
68,"567-41-5342",181550
69,"576-44-1300",173107
70,"211-84-4005",304415
71,"684-88-2707",100710
72,"256-10-2086",597070
73,"802-72-0825",981287
74,"857-13-2148",841376
75,"426-78-2440",497313
76,"833-10-4215",137545
77,"724-64-0000",598904
78,"513-53-4378",639308
79,"726-25-8582",159128
80,"211-26-8460",275184
81,"140-01-8617",763494
82,"671-30-0017",224608
83,"027-30-2606",599359
84,"406-42-0705",471776
85,"332-18-5087",531802
86,"673-72-3828",138614
87,"866-20-8743",425445
88,"266-30-3668",902242
89,"435-57-2316",786853
90,"885-18-6760",212140
91,"561-13-2636",239339
92,"574-27-2386",512034
93,"736-32-4742",401975
94,"034-82-4477",306127
95,"338-58-6732",984128
96,"431-70-1077",133646
97,"281-25-1765",427464
98,"625-82-2217",988777
99,"312-78-2310",189634
100,"430-04-5447",105453
3,"566-83-8044",916581
4,"532-16-1750",326411
3,"566-83-8044",699145
4,"532-16-1750",711685
1,"650-63-6154",245857
2,"875-13-4278",690984
3,"566-83-8044",842046
4,"532-16-1750",206666
5,"683-00-5812",828894
6,"060-21-3317",594699
7,"611-71-0203",786146
8,"820-62-2326",862091
9,"402-45-6427",432679
10,"827-22-6062",394255
11,"624-06-2107",260346
12,"534-06-7335",817655
13,"246-87-3132",967452
14,"434-24-5776",391510
15,"062-18-1716",314925
16,"762-54-2442",548252
17,"174-15-3773",448796
18,"305-46-6381",723137
19,"736-31-5657",810539
20,"745-50-1433",941047
21,"830-52-1651",693192
22,"338-58-3601",290130
23,"248-16-4677",141750
24,"228-00-7826",369887
25,"576-22-2236",411964
26,"025-44-7058",396824
27,"236-84-3454",424282
28,"600-23-4656",690133
29,"871-10-4712",630620
30,"785-65-8200",587442
31,"048-82-5416",130048
32,"483-67-1026",403651
33,"525-77-1330",475034
34,"045-61-4184",907356
35,"050-61-7466",930406
36,"855-21-8447",989843
37,"886-51-1363",401513
38,"088-56-6634",971811
39,"883-66-3870",492624
40,"423-13-4375",359947
41,"262-68-1121",410063
42,"560-48-1425",429746
43,"415-36-3166",831772
44,"272-72-6427",966109
45,"705-77-5861",559965
46,"726-55-0272",839993
47,"738-62-1855",490044
48,"241-68-2480",688608
49,"535-50-6535",481824
50,"145-15-6482",838930
51,"566-64-8428",179390
52,"430-15-6024",374196
53,"653-40-1765",256024
54,"178-66-4118",779152
55,"852-00-8323",940148
56,"514-65-8714",555798
57,"878-10-8537",328074
58,"646-01-7012",967101
59,"714-20-8170",456969
60,"882-04-1325",247784
61,"844-30-2613",765126
62,"258-61-0744",188268
63,"546-81-4528",588846
64,"562-02-6725",735606
65,"827-07-0132",952370
66,"888-78-1742",367101
67,"072-25-7603",124757
68,"567-41-5342",645226
69,"576-44-1300",382898
70,"211-84-4005",859105
71,"684-88-2707",899568
72,"256-10-2086",466152
73,"802-72-0825",901045
74,"857-13-2148",527981
75,"426-78-2440",609570
76,"833-10-4215",216266
77,"724-64-0000",452319
78,"513-53-4378",160936
79,"726-25-8582",133431
80,"211-26-8460",617214
81,"140-01-8617",448841
82,"671-30-0017",790368
83,"027-30-2606",742706
84,"406-42-0705",218876
85,"332-18-5087",777865
86,"673-72-3828",412341
87,"866-20-8743",979897
88,"266-30-3668",922898
89,"435-57-2316",810781
90,"885-18-6760",265495
91,"561-13-2636",960234
92,"574-27-2386",563104
93,"736-32-4742",705737
94,"034-82-4477",561114
95,"338-58-6732",769026
96,"431-70-1077",927925
97,"281-25-1765",813514
98,"625-82-2217",108861
99,"312-78-2310",493354
100,"430-04-5447",256691
99,"312-78-2310",330218
100,"430-04-5447",847132
99,"312-78-2310",259312
99,"312-78-2310",787703
100,"430-04-5447",135188
1,"650-63-6154",121724
2,"875-13-4278",308063
3,"566-83-8044",655877
4,"532-16-1750",182404
5,"683-00-5812",591076
6,"060-21-3317",599673
7,"611-71-0203",382100
8,"820-62-2326",446926
9,"402-45-6427",386982
10,"827-22-6062",881754
11,"624-06-2107",824628
12,"534-06-7335",354762
13,"246-87-3132",168561
14,"434-24-5776",325134
15,"062-18-1716",719350
16,"762-54-2442",788313
17,"174-15-3773",571722
18,"305-46-6381",732061
19,"736-31-5657",559909
20,"745-50-1433",496632
21,"830-52-1651",923414
22,"338-58-3601",682683
23,"248-16-4677",284810
24,"228-00-7826",191087
25,"576-22-2236",604494
26,"025-44-7058",917268
27,"236-84-3454",749577
28,"600-23-4656",957437
29,"871-10-4712",617571
30,"785-65-8200",823691
31,"048-82-5416",670372
32,"483-67-1026",222278
33,"525-77-1330",458940
34,"045-61-4184",629533
35,"050-61-7466",666281
36,"855-21-8447",654517
37,"886-51-1363",289791
38,"088-56-6634",298763
39,"883-66-3870",409833
40,"423-13-4375",419531
41,"262-68-1121",441688
42,"560-48-1425",511916
43,"415-36-3166",618585
44,"272-72-6427",895260
45,"705-77-5861",666149
46,"726-55-0272",394769
47,"738-62-1855",533307
48,"241-68-2480",493310
49,"535-50-6535",247395
50,"145-15-6482",871772
51,"566-64-8428",274293
52,"430-15-6024",674297
53,"653-40-1765",369956
54,"178-66-4118",261229
55,"852-00-8323",253767
56,"514-65-8714",221457
57,"878-10-8537",619447
58,"646-01-7012",684674
59,"714-20-8170",176722
60,"882-04-1325",785619
61,"844-30-2613",682220
62,"258-61-0744",195878
63,"546-81-4528",575102
64,"562-02-6725",996576
65,"827-07-0132",764936
66,"888-78-1742",623357
67,"072-25-7603",233537
68,"567-41-5342",909323
69,"576-44-1300",995007
70,"211-84-4005",374522
71,"684-88-2707",738146
72,"256-10-2086",357928
73,"802-72-0825",321148
74,"857-13-2148",264401
75,"426-78-2440",981109
76,"833-10-4215",906237
77,"724-64-0000",700582
78,"513-53-4378",844058
79,"726-25-8582",721554
80,"211-26-8460",905812
81,"140-01-8617",443857
82,"671-30-0017",536308
83,"027-30-2606",559147
84,"406-42-0705",233718
85,"332-18-5087",381036
86,"673-72-3828",477737
87,"866-20-8743",626741
88,"266-30-3668",692105
89,"435-57-2316",436941
90,"885-18-6760",900375
91,"561-13-2636",992259
92,"574-27-2386",253221
93,"736-32-4742",498875
94,"034-82-4477",624299
95,"338-58-6732",323122
96,"431-70-1077",175267
97,"281-25-1765",986640
98,"625-82-2217",388940
99,"312-78-2310",939991
100,"430-04-5447",251361
2,"875-13-4278",972174
3,"566-83-8044",546019
2,"875-13-4278",179506
3,"566-83-8044",216235
2,"875-13-4278",294769
3,"566-83-8044",846521
1,"650-63-6154",896668
2,"875-13-4278",661268
3,"566-83-8044",688584
4,"532-16-1750",862508
5,"683-00-5812",368348
6,"060-21-3317",550935
7,"611-71-0203",678237
8,"820-62-2326",215276
9,"402-45-6427",359538
10,"827-22-6062",413199
11,"624-06-2107",935593
12,"534-06-7335",857291
13,"246-87-3132",886216
14,"434-24-5776",640218
15,"062-18-1716",417402
16,"762-54-2442",323773
17,"174-15-3773",591965
18,"305-46-6381",396959
19,"736-31-5657",630419
20,"745-50-1433",217710
21,"830-52-1651",866194
22,"338-58-3601",334320
23,"248-16-4677",218615
24,"228-00-7826",163090
25,"576-22-2236",662327
26,"025-44-7058",136960
27,"236-84-3454",307604
28,"600-23-4656",802030
29,"871-10-4712",162341
30,"785-65-8200",487578
31,"048-82-5416",835256
32,"483-67-1026",146543
33,"525-77-1330",282662
34,"045-61-4184",922519
35,"050-61-7466",137980
36,"855-21-8447",889601
37,"886-51-1363",385250
38,"088-56-6634",533607
39,"883-66-3870",162638
40,"423-13-4375",147227
41,"262-68-1121",461426
42,"560-48-1425",957729
43,"415-36-3166",735798
44,"272-72-6427",821247
45,"705-77-5861",981836
46,"726-55-0272",895108
47,"738-62-1855",344838
48,"241-68-2480",451084
49,"535-50-6535",170158
50,"145-15-6482",723000
51,"566-64-8428",464792
52,"430-15-6024",414588
53,"653-40-1765",845088
54,"178-66-4118",231962
55,"852-00-8323",142884
56,"514-65-8714",647787
57,"878-10-8537",956385
58,"646-01-7012",818391
59,"714-20-8170",466323
60,"882-04-1325",609992
61,"844-30-2613",522023
62,"258-61-0744",850314
63,"546-81-4528",244340
64,"562-02-6725",212213
65,"827-07-0132",682564
66,"888-78-1742",941092
67,"072-25-7603",258985
68,"567-41-5342",589332
69,"576-44-1300",132213
70,"211-84-4005",531885
71,"684-88-2707",226127
72,"256-10-2086",860225
73,"802-72-0825",583608
74,"857-13-2148",247176
75,"426-78-2440",789451
76,"833-10-4215",167030
77,"724-64-0000",807509
78,"513-53-4378",911177
79,"726-25-8582",828021
80,"211-26-8460",220515
81,"140-01-8617",502076
82,"671-30-0017",841645
83,"027-30-2606",626778
84,"406-42-0705",150843
85,"332-18-5087",587489
86,"673-72-3828",320413
87,"866-20-8743",122875
88,"266-30-3668",518691
89,"435-57-2316",630873
90,"885-18-6760",775928
91,"561-13-2636",716320
92,"574-27-2386",705075
93,"736-32-4742",372455
94,"034-82-4477",584640
95,"338-58-6732",387439
96,"431-70-1077",102123
97,"281-25-1765",898919
98,"625-82-2217",636023
99,"312-78-2310",776912
100,"430-04-5447",148968
20,"745-50-1433",338607
21,"830-52-1651",709755
20,"745-50-1433",652978
21,"830-52-1651",571140
20,"745-50-1433",948559
21,"830-52-1651",816101
1,"650-63-6154",881958
2,"875-13-4278",965101
3,"566-83-8044",604430
4,"532-16-1750",950716
5,"683-00-5812",982067
6,"060-21-3317",510313
7,"611-71-0203",151816
8,"820-62-2326",651702
9,"402-45-6427",901208
10,"827-22-6062",239063
11,"624-06-2107",783245
12,"534-06-7335",890876
13,"246-87-3132",759908
14,"434-24-5776",621593
15,"062-18-1716",324670
16,"762-54-2442",932039
17,"174-15-3773",187458
18,"305-46-6381",419609
19,"736-31-5657",778871
20,"745-50-1433",471666
21,"830-52-1651",175141
22,"338-58-3601",376139
23,"248-16-4677",867483
24,"228-00-7826",403215
25,"576-22-2236",589574
26,"025-44-7058",271153
27,"236-84-3454",546966
28,"600-23-4656",565348
29,"871-10-4712",206885
30,"785-65-8200",403343
31,"048-82-5416",188890
32,"483-67-1026",774801
33,"525-77-1330",747465
34,"045-61-4184",155648
35,"050-61-7466",136988
36,"855-21-8447",646831
37,"886-51-1363",798088
38,"088-56-6634",689183
39,"883-66-3870",472005
40,"423-13-4375",320978
41,"262-68-1121",343936
42,"560-48-1425",363470
43,"415-36-3166",111412
44,"272-72-6427",380121
45,"705-77-5861",531515
46,"726-55-0272",155968
47,"738-62-1855",449827
48,"241-68-2480",973350
49,"535-50-6535",908449
50,"145-15-6482",302928
51,"566-64-8428",165342
52,"430-15-6024",288044
53,"653-40-1765",713147
54,"178-66-4118",633260
55,"852-00-8323",227146
56,"514-65-8714",787726
57,"878-10-8537",277132
58,"646-01-7012",580697
59,"714-20-8170",342975
60,"882-04-1325",699837
61,"844-30-2613",803727
62,"258-61-0744",689427
63,"546-81-4528",380067
64,"562-02-6725",927288
65,"827-07-0132",678328
66,"888-78-1742",218081
67,"072-25-7603",471973
68,"567-41-5342",988063
69,"576-44-1300",828692
70,"211-84-4005",573820
71,"684-88-2707",679740
72,"256-10-2086",471800
73,"802-72-0825",522904
74,"857-13-2148",401226
75,"426-78-2440",556379
76,"833-10-4215",988309
77,"724-64-0000",121179
78,"513-53-4378",261047
79,"726-25-8582",721997
80,"211-26-8460",754596
81,"140-01-8617",831440
82,"671-30-0017",875454
83,"027-30-2606",311594
84,"406-42-0705",260516
85,"332-18-5087",649656
86,"673-72-3828",105157
87,"866-20-8743",909565
88,"266-30-3668",775031
89,"435-57-2316",663142
90,"885-18-6760",383028
91,"561-13-2636",668090
92,"574-27-2386",698614
93,"736-32-4742",234981
94,"034-82-4477",229447
95,"338-58-6732",828621
96,"431-70-1077",770352
97,"281-25-1765",885124
98,"625-82-2217",533857
99,"312-78-2310",120294
100,"430-04-5447",996079
62,"258-61-0744",898081
63,"546-81-4528",866539
62,"258-61-0744",115256
63,"546-81-4528",499669
62,"258-61-0744",618821
62,"258-61-0744",741586
63,"546-81-4528",887923
1,"650-63-6154",606432
2,"875-13-4278",150407
3,"566-83-8044",257862
4,"532-16-1750",354713
5,"683-00-5812",235519
6,"060-21-3317",653117
7,"611-71-0203",823631
8,"820-62-2326",331177
9,"402-45-6427",195105
10,"827-22-6062",525591
11,"624-06-2107",113647
12,"534-06-7335",606661
13,"246-87-3132",416073
14,"434-24-5776",175107
15,"062-18-1716",238920
16,"762-54-2442",481726
17,"174-15-3773",726861
18,"305-46-6381",555861
19,"736-31-5657",984401
20,"745-50-1433",568097
21,"830-52-1651",174826
22,"338-58-3601",849820
23,"248-16-4677",479278
24,"228-00-7826",573455
25,"576-22-2236",284490
26,"025-44-7058",871095
27,"236-84-3454",395856
28,"600-23-4656",627898
29,"871-10-4712",212667
30,"785-65-8200",227065
31,"048-82-5416",822609
32,"483-67-1026",602118
33,"525-77-1330",363080
34,"045-61-4184",288805
35,"050-61-7466",465992
36,"855-21-8447",980699
37,"886-51-1363",168461
38,"088-56-6634",304368
39,"883-66-3870",301799
40,"423-13-4375",763628
41,"262-68-1121",669391
42,"560-48-1425",357219
43,"415-36-3166",777980
44,"272-72-6427",806840
45,"705-77-5861",860063
46,"726-55-0272",411950
47,"738-62-1855",812498
48,"241-68-2480",982863
49,"535-50-6535",107209
50,"145-15-6482",277061
51,"566-64-8428",313901
52,"430-15-6024",140121
53,"653-40-1765",801924
54,"178-66-4118",450108
55,"852-00-8323",367483
56,"514-65-8714",335274
57,"878-10-8537",667577
58,"646-01-7012",288720
59,"714-20-8170",147818
60,"882-04-1325",358510
61,"844-30-2613",864858
62,"258-61-0744",972031
63,"546-81-4528",911494
64,"562-02-6725",196080
65,"827-07-0132",764773
66,"888-78-1742",558264
67,"072-25-7603",799124
68,"567-41-5342",957670
69,"576-44-1300",497940
70,"211-84-4005",490352
71,"684-88-2707",223182
72,"256-10-2086",997278
73,"802-72-0825",688740
74,"857-13-2148",198748
75,"426-78-2440",898707
76,"833-10-4215",475561
77,"724-64-0000",786638
78,"513-53-4378",782310
79,"726-25-8582",453523
80,"211-26-8460",446302
81,"140-01-8617",208788
82,"671-30-0017",217632
83,"027-30-2606",277018
84,"406-42-0705",338857
85,"332-18-5087",681639
86,"673-72-3828",564548
87,"866-20-8743",261084
88,"266-30-3668",661216
89,"435-57-2316",287745
90,"885-18-6760",607364
91,"561-13-2636",331764
92,"574-27-2386",125582
93,"736-32-4742",241985
94,"034-82-4477",316081
95,"338-58-6732",429823
96,"431-70-1077",943177
97,"281-25-1765",471913
98,"625-82-2217",751045
99,"312-78-2310",637501
100,"430-04-5447",479263
100,"430-04-5447",885908
1,"650-63-6154",525524
2,"875-13-4278",261958
3,"566-83-8044",844373
4,"532-16-1750",380502
5,"683-00-5812",430043
6,"060-21-3317",452629
7,"611-71-0203",719215
8,"820-62-2326",625338
9,"402-45-6427",258257
10,"827-22-6062",286930
11,"624-06-2107",348081
12,"534-06-7335",796925
13,"246-87-3132",424219
14,"434-24-5776",664857
15,"062-18-1716",923286
16,"762-54-2442",517520
17,"174-15-3773",355413
18,"305-46-6381",273825
19,"736-31-5657",625158
20,"745-50-1433",907224
21,"830-52-1651",241943
22,"338-58-3601",281819
23,"248-16-4677",282764
24,"228-00-7826",133513
25,"576-22-2236",832256
26,"025-44-7058",971109
27,"236-84-3454",302600
28,"600-23-4656",729737
29,"871-10-4712",578202
30,"785-65-8200",185383
31,"048-82-5416",435731
32,"483-67-1026",800168
33,"525-77-1330",657383
34,"045-61-4184",658894
35,"050-61-7466",127296
36,"855-21-8447",735972
37,"886-51-1363",186497
38,"088-56-6634",900054
39,"883-66-3870",564228
40,"423-13-4375",297573
41,"262-68-1121",403592
42,"560-48-1425",467507
43,"415-36-3166",402444
44,"272-72-6427",467093
45,"705-77-5861",435433
46,"726-55-0272",818344
47,"738-62-1855",316549
48,"241-68-2480",804241
49,"535-50-6535",109296
50,"145-15-6482",377831
51,"566-64-8428",251027
52,"430-15-6024",788013
53,"653-40-1765",473330
54,"178-66-4118",567499
55,"852-00-8323",490665
56,"514-65-8714",750303
57,"878-10-8537",362128
58,"646-01-7012",785148
59,"714-20-8170",461630
60,"882-04-1325",181371
61,"844-30-2613",782980
