"CIF","ACCOUNTNUMBER","TRANSACTIONID"
10,"827-22-6062",927925
11,"624-06-2107",813514
12,"534-06-7335",108861
13,"246-87-3132",493354
14,"434-24-5776",256691
15,"062-18-1716",330218
16,"762-54-2442",847132
17,"174-15-3773",259312
18,"305-46-6381",787703
19,"736-31-5657",135188
20,"745-50-1433",121724
21,"830-52-1651",308063
22,"338-58-3601",655877
23,"248-16-4677",182404
24,"228-00-7826",591076
25,"576-22-2236",599673
26,"025-44-7058",382100
27,"236-84-3454",446926
28,"600-23-4656",386982
29,"871-10-4712",881754
30,"785-65-8200",824628
31,"048-82-5416",354762
32,"483-67-1026",168561
33,"525-77-1330",325134
34,"045-61-4184",719350
35,"050-61-7466",788313
36,"855-21-8447",571722
37,"886-51-1363",732061
38,"088-56-6634",559909
39,"883-66-3870",496632
40,"423-13-4375",923414
41,"262-68-1121",682683
42,"560-48-1425",284810
43,"415-36-3166",191087
44,"272-72-6427",604494
45,"705-77-5861",917268
46,"726-55-0272",749577
47,"738-62-1855",957437
48,"241-68-2480",617571
49,"535-50-6535",823691
50,"145-15-6482",670372
51,"566-64-8428",222278
52,"430-15-6024",458940
53,"653-40-1765",629533
54,"178-66-4118",666281
55,"852-00-8323",654517
56,"514-65-8714",289791
57,"878-10-8537",298763
58,"646-01-7012",409833
59,"714-20-8170",419531
60,"882-04-1325",441688
61,"844-30-2613",511916
62,"258-61-0744",618585
63,"546-81-4528",895260
64,"562-02-6725",666149
65,"827-07-0132",394769
66,"888-78-1742",533307
67,"072-25-7603",493310
68,"567-41-5342",247395
69,"576-44-1300",871772
70,"211-84-4005",274293
71,"684-88-2707",674297
72,"256-10-2086",369956
73,"802-72-0825",261229
74,"857-13-2148",253767
75,"426-78-2440",221457
76,"833-10-4215",619447
77,"724-64-0000",684674
78,"513-53-4378",176722
79,"726-25-8582",785619
80,"211-26-8460",682220
81,"140-01-8617",195878
82,"671-30-0017",575102
83,"027-30-2606",996576
84,"406-42-0705",764936
85,"332-18-5087",623357
86,"673-72-3828",233537
87,"866-20-8743",909323
88,"266-30-3668",995007
89,"435-57-2316",374522
90,"885-18-6760",738146
91,"561-13-2636",357928
92,"574-27-2386",321148
93,"736-32-4742",264401
94,"034-82-4477",981109
95,"338-58-6732",906237
96,"431-70-1077",700582
97,"281-25-1765",844058
98,"625-82-2217",721554
99,"312-78-2310",905812
100,"430-04-5447",443857
1,"650-63-6154",536308
2,"875-13-4278",559147
3,"566-83-8044",233718
4,"532-16-1750",381036
5,"683-00-5812",477737
6,"060-21-3317",626741
7,"611-71-0203",692105
8,"820-62-2326",436941
9,"402-45-6427",900375
10,"827-22-6062",992259
11,"624-06-2107",253221
12,"534-06-7335",498875
13,"246-87-3132",624299
14,"434-24-5776",323122
15,"062-18-1716",175267
16,"762-54-2442",986640
17,"174-15-3773",388940
18,"305-46-6381",939991
19,"736-31-5657",251361
20,"745-50-1433",972174
21,"830-52-1651",546019
22,"338-58-3601",179506
23,"248-16-4677",216235
24,"228-00-7826",294769
25,"576-22-2236",846521
26,"025-44-7058",896668
27,"236-84-3454",661268
28,"600-23-4656",688584
29,"871-10-4712",862508
30,"785-65-8200",368348
31,"048-82-5416",550935
32,"483-67-1026",678237
33,"525-77-1330",215276
34,"045-61-4184",359538
35,"050-61-7466",413199
36,"855-21-8447",935593
37,"886-51-1363",857291
38,"088-56-6634",886216
39,"883-66-3870",640218
40,"423-13-4375",417402
41,"262-68-1121",323773
42,"560-48-1425",591965
43,"415-36-3166",396959
44,"272-72-6427",630419
45,"705-77-5861",217710
46,"726-55-0272",866194
47,"738-62-1855",334320
48,"241-68-2480",218615
49,"535-50-6535",163090
50,"145-15-6482",662327
51,"566-64-8428",136960
52,"430-15-6024",307604
53,"653-40-1765",802030
54,"178-66-4118",162341
55,"852-00-8323",487578
56,"514-65-8714",835256
57,"878-10-8537",146543
58,"646-01-7012",282662
59,"714-20-8170",922519
60,"882-04-1325",137980
61,"844-30-2613",889601
62,"258-61-0744",385250
63,"546-81-4528",533607
64,"562-02-6725",162638
65,"827-07-0132",147227
66,"888-78-1742",461426
67,"072-25-7603",957729
68,"567-41-5342",735798
69,"576-44-1300",821247
70,"211-84-4005",981836
71,"684-88-2707",895108
72,"256-10-2086",344838
73,"802-72-0825",451084
74,"857-13-2148",170158
75,"426-78-2440",723000
76,"833-10-4215",464792
77,"724-64-0000",414588
78,"513-53-4378",845088
79,"726-25-8582",231962
80,"211-26-8460",142884
81,"140-01-8617",647787
82,"671-30-0017",956385
83,"027-30-2606",818391
84,"406-42-0705",466323
85,"332-18-5087",609992
86,"673-72-3828",522023
87,"866-20-8743",850314
88,"266-30-3668",244340
89,"435-57-2316",212213
90,"885-18-6760",682564
91,"561-13-2636",941092
92,"574-27-2386",258985
93,"736-32-4742",589332
94,"034-82-4477",132213
95,"338-58-6732",531885
96,"431-70-1077",226127
97,"281-25-1765",860225
98,"625-82-2217",583608
99,"312-78-2310",247176
100,"430-04-5447",789451
1,"650-63-6154",167030
2,"875-13-4278",807509
3,"566-83-8044",911177
4,"532-16-1750",828021
5,"683-00-5812",220515
6,"060-21-3317",502076
7,"611-71-0203",841645
8,"820-62-2326",626778
9,"402-45-6427",150843
10,"827-22-6062",587489
11,"624-06-2107",320413
12,"534-06-7335",122875
13,"246-87-3132",518691
14,"434-24-5776",630873
15,"062-18-1716",775928
16,"762-54-2442",716320
17,"174-15-3773",705075
18,"305-46-6381",372455
19,"736-31-5657",584640
20,"745-50-1433",387439
21,"830-52-1651",102123
22,"338-58-3601",898919
23,"248-16-4677",636023
24,"228-00-7826",776912
25,"576-22-2236",148968
26,"025-44-7058",338607
27,"236-84-3454",709755
28,"600-23-4656",652978
29,"871-10-4712",571140
30,"785-65-8200",948559
31,"048-82-5416",816101
32,"483-67-1026",881958
33,"525-77-1330",965101
34,"045-61-4184",604430
35,"050-61-7466",950716
36,"855-21-8447",982067
37,"886-51-1363",510313
38,"088-56-6634",151816
39,"883-66-3870",651702
40,"423-13-4375",901208
41,"262-68-1121",239063
42,"560-48-1425",783245
43,"415-36-3166",890876
44,"272-72-6427",759908
45,"705-77-5861",621593
46,"726-55-0272",324670
47,"738-62-1855",932039
48,"241-68-2480",187458
49,"535-50-6535",419609
50,"145-15-6482",778871
51,"566-64-8428",471666
52,"430-15-6024",175141
53,"653-40-1765",376139
54,"178-66-4118",867483
55,"852-00-8323",403215
56,"514-65-8714",589574
57,"878-10-8537",271153
58,"646-01-7012",546966
59,"714-20-8170",565348
60,"882-04-1325",206885
61,"844-30-2613",403343
62,"258-61-0744",188890
63,"546-81-4528",774801
64,"562-02-6725",747465
65,"827-07-0132",155648
66,"888-78-1742",136988
67,"072-25-7603",646831
68,"567-41-5342",798088
69,"576-44-1300",689183
70,"211-84-4005",472005
71,"684-88-2707",320978
72,"256-10-2086",343936
73,"802-72-0825",363470
74,"857-13-2148",111412
75,"426-78-2440",380121
76,"833-10-4215",531515
77,"724-64-0000",155968
78,"513-53-4378",449827
79,"726-25-8582",973350
80,"211-26-8460",908449
81,"140-01-8617",302928
82,"671-30-0017",165342
83,"027-30-2606",288044
84,"406-42-0705",713147
85,"332-18-5087",633260
86,"673-72-3828",227146
87,"866-20-8743",787726
88,"266-30-3668",277132
89,"435-57-2316",580697
90,"885-18-6760",342975
91,"561-13-2636",699837
92,"574-27-2386",803727
93,"736-32-4742",689427
94,"034-82-4477",380067
95,"338-58-6732",927288
96,"431-70-1077",678328
97,"281-25-1765",218081
98,"625-82-2217",471973
99,"312-78-2310",988063
100,"430-04-5447",828692
1,"650-63-6154",573820
2,"875-13-4278",679740
3,"566-83-8044",471800
4,"532-16-1750",522904
5,"683-00-5812",401226
6,"060-21-3317",556379
7,"611-71-0203",988309
8,"820-62-2326",121179
9,"402-45-6427",261047
10,"827-22-6062",721997
11,"624-06-2107",754596
12,"534-06-7335",831440
13,"246-87-3132",875454
14,"434-24-5776",311594
15,"062-18-1716",260516
16,"762-54-2442",649656
17,"174-15-3773",105157
18,"305-46-6381",909565
19,"736-31-5657",775031
20,"745-50-1433",663142
21,"830-52-1651",383028
22,"338-58-3601",668090
23,"248-16-4677",698614
24,"228-00-7826",234981
25,"576-22-2236",229447
26,"025-44-7058",828621
27,"236-84-3454",770352
28,"600-23-4656",885124
29,"871-10-4712",533857
30,"785-65-8200",120294
31,"048-82-5416",996079
32,"483-67-1026",898081
33,"525-77-1330",866539
34,"045-61-4184",115256
35,"050-61-7466",499669
36,"855-21-8447",618821
37,"886-51-1363",741586
38,"088-56-6634",887923
39,"883-66-3870",606432
40,"423-13-4375",150407
41,"262-68-1121",257862
42,"560-48-1425",354713
43,"415-36-3166",235519
44,"272-72-6427",653117
45,"705-77-5861",823631
46,"726-55-0272",331177
47,"738-62-1855",195105
48,"241-68-2480",525591
49,"535-50-6535",113647
50,"145-15-6482",606661
51,"566-64-8428",416073
52,"430-15-6024",175107
53,"653-40-1765",238920
54,"178-66-4118",481726
55,"852-00-8323",726861
56,"514-65-8714",555861
57,"878-10-8537",984401
58,"646-01-7012",568097
59,"714-20-8170",174826
60,"882-04-1325",849820
61,"844-30-2613",479278
62,"258-61-0744",573455
63,"546-81-4528",284490
64,"562-02-6725",871095
65,"827-07-0132",395856
66,"888-78-1742",627898
67,"072-25-7603",212667
68,"567-41-5342",227065
69,"576-44-1300",822609
70,"211-84-4005",602118
71,"684-88-2707",363080
72,"256-10-2086",288805
73,"802-72-0825",465992
74,"857-13-2148",980699
75,"426-78-2440",168461
76,"833-10-4215",304368
77,"724-64-0000",301799
78,"513-53-4378",763628
79,"726-25-8582",669391
80,"211-26-8460",357219
81,"140-01-8617",777980
82,"671-30-0017",806840
83,"027-30-2606",860063
84,"406-42-0705",411950
85,"332-18-5087",812498
86,"673-72-3828",982863
87,"866-20-8743",107209
88,"266-30-3668",277061
89,"435-57-2316",313901
90,"885-18-6760",140121
91,"561-13-2636",801924
92,"574-27-2386",450108
93,"736-32-4742",367483
94,"034-82-4477",335274
95,"338-58-6732",667577
96,"431-70-1077",288720
97,"281-25-1765",147818
98,"625-82-2217",358510
99,"312-78-2310",864858
100,"430-04-5447",972031
1,"650-63-6154",911494
2,"875-13-4278",196080
3,"566-83-8044",764773
4,"532-16-1750",558264
5,"683-00-5812",799124
6,"060-21-3317",957670
7,"611-71-0203",497940
8,"820-62-2326",490352
9,"402-45-6427",223182
10,"827-22-6062",997278
11,"624-06-2107",688740
12,"534-06-7335",198748
13,"246-87-3132",898707
14,"434-24-5776",475561
15,"062-18-1716",786638
16,"762-54-2442",782310
17,"174-15-3773",453523
18,"305-46-6381",446302
19,"736-31-5657",208788
20,"745-50-1433",217632
21,"830-52-1651",277018
22,"338-58-3601",338857
23,"248-16-4677",681639
24,"228-00-7826",564548
25,"576-22-2236",261084
26,"025-44-7058",661216
27,"236-84-3454",287745
28,"600-23-4656",607364
29,"871-10-4712",331764
30,"785-65-8200",125582
31,"048-82-5416",241985
32,"483-67-1026",316081
33,"525-77-1330",429823
34,"045-61-4184",943177
35,"050-61-7466",471913
36,"855-21-8447",751045
37,"886-51-1363",637501
38,"088-56-6634",479263
39,"883-66-3870",885908
40,"423-13-4375",525524
41,"262-68-1121",261958
42,"560-48-1425",844373
43,"415-36-3166",380502
44,"272-72-6427",430043
45,"705-77-5861",452629
46,"726-55-0272",719215
47,"738-62-1855",625338
48,"241-68-2480",258257
49,"535-50-6535",286930
50,"145-15-6482",348081
51,"566-64-8428",796925
52,"430-15-6024",424219
53,"653-40-1765",664857
54,"178-66-4118",923286
55,"852-00-8323",517520
56,"514-65-8714",355413
57,"878-10-8537",273825
58,"646-01-7012",625158
59,"714-20-8170",907224
60,"882-04-1325",241943
61,"844-30-2613",281819
62,"258-61-0744",282764
63,"546-81-4528",133513
64,"562-02-6725",832256
65,"827-07-0132",971109
66,"888-78-1742",302600
67,"072-25-7603",729737
68,"567-41-5342",578202
69,"576-44-1300",185383
70,"211-84-4005",435731
71,"684-88-2707",800168
72,"256-10-2086",657383
73,"802-72-0825",658894
74,"857-13-2148",127296
75,"426-78-2440",735972
76,"833-10-4215",186497
77,"724-64-0000",900054
78,"513-53-4378",564228
79,"726-25-8582",297573
80,"211-26-8460",403592
81,"140-01-8617",467507
82,"671-30-0017",402444
83,"027-30-2606",467093
84,"406-42-0705",435433
85,"332-18-5087",818344
86,"673-72-3828",316549
87,"866-20-8743",804241
88,"266-30-3668",109296
89,"435-57-2316",377831
90,"885-18-6760",251027
91,"561-13-2636",788013
92,"574-27-2386",473330
93,"736-32-4742",567499
94,"034-82-4477",490665
95,"338-58-6732",750303
96,"431-70-1077",362128
97,"281-25-1765",785148
98,"625-82-2217",461630
99,"312-78-2310",181371
100,"430-04-5447",782980
