"CIF","CARDNUMBER","TRANSACTIONID"
21,"725-05-6638",384310
22,"105-78-4218",718477
23,"043-88-2028",519710
24,"865-72-7506",337918
25,"565-50-8781",584311
26,"358-87-6367",689018
27,"778-08-5267",808907
28,"322-56-6040",316462
29,"417-50-2805",375917
30,"478-77-0168",991967
31,"057-47-0307",625418
32,"731-01-3327",467027
33,"084-76-7037",627624
34,"667-88-5438",364695
35,"775-26-1206",459086
36,"723-13-7731",621594
37,"377-16-0536",441306
38,"588-25-0202",459483
39,"573-50-0347",462756
40,"801-64-4471",838092
41,"354-16-2062",498802
42,"837-86-6353",520098
43,"471-02-2438",449194
44,"745-84-5503",969031
45,"542-35-2342",211796
46,"161-78-0226",389830
47,"100-74-7353",784573
48,"821-51-0773",335127
49,"500-88-5554",968028
50,"362-64-7780",503010
51,"671-68-5564",979114
52,"060-11-2111",642353
53,"682-81-7633",598659
54,"710-87-8515",283762
55,"804-18-1012",723041
56,"117-77-0065",498068
57,"624-13-0454",783997
58,"328-13-7268",895442
59,"461-25-2550",815474
60,"347-47-0667",478485
61,"134-35-4852",356384
62,"105-66-5586",327923
63,"345-71-0885",861929
64,"636-02-3822",928488
65,"583-85-7164",790548
66,"803-22-4017",141748
67,"824-65-1518",371680
68,"348-74-5400",310364
69,"075-68-1033",845943
70,"428-12-4181",674840
71,"606-32-8656",166259
72,"810-82-6185",244845
73,"773-36-5267",218623
74,"011-20-5434",829496
75,"181-68-1544",214371
76,"816-73-7264",156277
77,"637-18-8217",559018
78,"427-26-4174",332845
79,"232-33-8711",845501
80,"323-08-2058",116384
81,"001-78-5567",782328
82,"478-83-4181",781582
83,"536-34-7814",733494
84,"478-07-6871",232788
85,"031-21-8088",383180
86,"842-34-2305",877425
87,"652-07-4277",545462
88,"458-65-8450",139083
89,"760-55-5756",864138
90,"664-42-2061",858539
91,"872-51-8188",123186
92,"623-81-7544",771072
93,"170-78-2658",503585
94,"481-16-5303",269030
95,"682-58-1827",494329
96,"504-33-0552",599034
97,"134-40-3885",132260
98,"438-28-8232",982900
99,"418-87-2656",341186
100,"160-61-7604",482096
1,"348-14-6088",860295
2,"285-83-6186",559843
3,"811-84-3310",600126
4,"773-80-8680",293442
5,"171-24-1530",785276
6,"110-44-7471",327754
7,"425-86-2712",198625
8,"830-04-7362",626451
9,"564-28-0407",437315
10,"077-14-3850",891993
11,"748-68-5701",171021
1,"348-14-6088",534152
2,"285-83-6186",959581
3,"811-84-3310",423773
4,"773-80-8680",331752
5,"171-24-1530",129667
6,"110-44-7471",399552
7,"425-86-2712",857175
8,"830-04-7362",765410
9,"564-28-0407",398963
10,"077-14-3850",310196
11,"748-68-5701",639677
12,"031-57-1657",459534
13,"142-35-0766",711693
14,"145-28-6565",303669
15,"112-63-6481",157232
16,"853-42-5384",496499
17,"832-23-2782",439992
18,"702-72-3427",238673
19,"010-51-1700",344990
20,"355-41-2463",416161
21,"725-05-6638",891614
22,"105-78-4218",401943
23,"043-88-2028",370017
24,"865-72-7506",361205
25,"565-50-8781",951187
26,"358-87-6367",179025
27,"778-08-5267",284919
28,"322-56-6040",742519
29,"417-50-2805",419970
30,"478-77-0168",359820
31,"057-47-0307",259912
32,"731-01-3327",966307
33,"084-76-7037",368892
34,"667-88-5438",472828
35,"775-26-1206",128827
36,"723-13-7731",709433
37,"377-16-0536",705143
38,"588-25-0202",171051
39,"573-50-0347",503551
40,"801-64-4471",821170
41,"354-16-2062",439455
42,"837-86-6353",293549
43,"471-02-2438",202870
44,"745-84-5503",657812
45,"542-35-2342",990877
46,"161-78-0226",306362
47,"100-74-7353",566050
48,"821-51-0773",632855
49,"500-88-5554",710561
50,"362-64-7780",950321
51,"671-68-5564",216051
52,"060-11-2111",767802
53,"682-81-7633",355206
54,"710-87-8515",548924
55,"804-18-1012",416809
56,"117-77-0065",228457
57,"624-13-0454",879086
58,"328-13-7268",976999
59,"461-25-2550",559805
60,"347-47-0667",467555
61,"134-35-4852",363487
62,"105-66-5586",293916
63,"345-71-0885",887187
64,"636-02-3822",239660
65,"583-85-7164",942863
66,"803-22-4017",843403
67,"824-65-1518",932472
68,"348-74-5400",348165
69,"075-68-1033",332441
70,"428-12-4181",644193
71,"606-32-8656",444510
72,"810-82-6185",529320
73,"773-36-5267",482806
74,"011-20-5434",114639
75,"181-68-1544",641002
76,"816-73-7264",301846
77,"637-18-8217",970194
78,"427-26-4174",733214
79,"232-33-8711",761200
80,"323-08-2058",449973
81,"001-78-5567",657800
82,"478-83-4181",437058
83,"536-34-7814",558838
84,"478-07-6871",831723
85,"031-21-8088",330135
86,"842-34-2305",661005
87,"652-07-4277",586540
88,"458-65-8450",130280
89,"760-55-5756",115070
90,"664-42-2061",918409
91,"872-51-8188",546247
92,"623-81-7544",622826
93,"170-78-2658",677329
94,"481-16-5303",838445
95,"682-58-1827",789335
96,"504-33-0552",286726
